yorum;V1_genel_skor;V1_seviye;V1_Toksik;V1_Ağır Toksik;V1_Müstehcen;V1_Tehdit;V1_Hakaret;V1_Kimlik Nefreti;V2_genel_skor;V2_seviye;V2_Toksik;V2_Ağır Toksik;V2_Müstehcen;V2_Tehdit;V2_Hakaret;V2_Kimlik Nefreti;V3_genel_skor;V3_seviye;V3_Toksik;V3_Ağır Toksik;V3_Müstehcen;V3_Tehdit;V3_Hakaret;V3_Kimlik Nefreti;V4_genel_skor;V4_seviye;V4_Toksik;V4_Ağır Toksik;V4_Müstehcen;V4_Tehdit;V4_Hakaret;V4_Kimlik Nefreti;V5_genel_skor;V5_seviye;V5_Toksik;V5_Ağır Toksik;V5_Müstehcen;V5_Tehdit;V5_Hakaret;V5_Kimlik Nefreti;V5_2_genel_skor;V5_2_seviye;V5_2_Toksik;V5_2_Ağır Toksik;V5_2_Müstehcen;V5_2_Tehdit;V5_2_Hakaret;V5_2_Kimlik Nefreti;V5_02_genel_skor;V5_02_seviye;V5_02_Toksik;V5_02_Ağır Toksik;V5_02_Müstehcen;V5_02_Tehdit;V5_02_Hakaret;V5_02_Kimlik Nefreti;V5_22_genel_skor;V5_22_seviye;V5_22_Toksik;V5_22_Ağır Toksik;V5_22_Müstehcen;V5_22_Tehdit;V5_22_Hakaret;V5_22_Kimlik Nefreti
Karakterin o kadar zayıf ki, seninle aynı havayı solumak bile beni rahatsız ediyor.;0.381;Dikkat;0.3563;0.1251;0.1798;0.381;0.2593;0.132;0.0606;Güvenli;0.0606;0.0052;0.0108;0.0126;0.0095;0.0031;0.0431;Güvenli;0.0431;0.0006;0.0056;0.0011;0.0045;0.0029;0.9825;Toksik;0.9825;0.0041;0.0103;0.0057;0.9722;0.0102;0.9562;Toksik;0.9562;0.0016;0.0072;0.0035;0.9468;0.006;0.4663;Dikkat;0.4543;0.0222;0.0222;0.0182;0.4663;0.0215;0.4663;Dikkat;0.4543;0.0222;0.0222;0.0182;0.4663;0.0215;0.4663;Dikkat;0.4543;0.0222;0.0222;0.0182;0.4663;0.0215
İnsan içine çıkacak yüzün kalmamış ama sen hala utanmadan burada konuşuyorsun.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.032;Güvenli;0.032;0.0058;0.0103;0.0006;0.0098;0.0036;0.0259;Güvenli;0.0259;0.0005;0.0056;0.0009;0.003;0.0016;0.9353;Toksik;0.9292;0.0017;0.0043;0.0034;0.9353;0.008;0.8486;Toksik;0.8356;0.0006;0.0054;0.0016;0.8486;0.0037;0.3524;Dikkat;0.3524;0.0203;0.0173;0.0156;0.3515;0.0193;0.3524;Dikkat;0.3524;0.0203;0.0173;0.0156;0.3515;0.0193;0.3524;Dikkat;0.3524;0.0203;0.0173;0.0156;0.3515;0.0193
Seninle aynı masada oturmayı bırak, aynı cümlede bile geçmek istemiyorum.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0205;Güvenli;0.0205;0.0059;0.0079;0.0007;0.006;0.0033;0.0294;Güvenli;0.0294;0.0005;0.005;0.0008;0.0028;0.0015;0.9212;Toksik;0.9212;0.0016;0.0062;0.0036;0.9005;0.0045;0.8851;Toksik;0.8851;0.001;0.0066;0.0028;0.8579;0.0022;0.1649;Güvenli;0.1649;0.0168;0.0173;0.0173;0.1533;0.0133;0.1649;Güvenli;0.1649;0.0168;0.0173;0.0173;0.1533;0.0133;0.1649;Güvenli;0.1649;0.0168;0.0173;0.0173;0.1533;0.0133
O sahte tavırların ve ikiyüzlülüğün gerçekten midemi bulandırıyor.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0639;Güvenli;0.0639;0.0009;0.0069;0.002;0.0051;0.0035;0.9712;Toksik;0.9712;0.003;0.0067;0.005;0.9668;0.0098;0.9303;Toksik;0.9303;0.001;0.0057;0.0025;0.9184;0.0163;0.5086;Dikkat;0.5069;0.0262;0.0194;0.0238;0.5086;0.0244;0.5086;Dikkat;0.5069;0.0262;0.0194;0.0238;0.5086;0.0244;0.5086;Dikkat;0.5069;0.0262;0.0194;0.0238;0.5086;0.0244
Vicdan ve empati yoksunu biri olduğun için seninle herhangi bir iletişim kurmayı reddediyorum.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0154;Güvenli;0.0154;0.0005;0.0038;0.0008;0.0023;0.0015;0.9858;Toksik;0.9858;0.0076;0.0115;0.0089;0.98;0.0101;0.9821;Toksik;0.9821;0.0045;0.01;0.0069;0.9767;0.0105;0.5594;Dikkat;0.5578;0.0253;0.0183;0.0208;0.5594;0.0206;0.5594;Dikkat;0.5578;0.0253;0.0183;0.0208;0.5594;0.0206;0.5594;Dikkat;0.5578;0.0253;0.0183;0.0208;0.5594;0.0206
Umarım kendi yarattığın o karanlıkta bir gün tek başına kaybolursun.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.1338;Güvenli;0.1338;0.0013;0.015;0.0027;0.0095;0.0055;0.7983;Toksik;0.697;0.0009;0.0028;0.0022;0.7983;0.0045;0.3513;Dikkat;0.3345;0.0003;0.0034;0.0011;0.3513;0.0018;0.1801;Güvenli;0.1719;0.0154;0.0154;0.017;0.1801;0.0147;0.1801;Güvenli;0.1719;0.0154;0.0154;0.017;0.1801;0.0147;0.1801;Güvenli;0.1719;0.0154;0.0154;0.017;0.1801;0.0147
Bana ve etrafındakilere yaşattığın bu stresten çok daha fazlasını yaşamanı diliyorum.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0117;Güvenli;0.0117;0.0043;0.0068;0.0007;0.01;0.004;0.0463;Güvenli;0.0463;0.0006;0.0062;0.0009;0.0035;0.0021;0.0025;Güvenli;0.0025;0.0004;0.0014;0.0007;0.0019;0.0011;0.006;Güvenli;0.006;0.0003;0.0014;0.0007;0.0036;0.001;0.1716;Güvenli;0.1656;0.0169;0.0189;0.0177;0.1716;0.0166;0.1716;Güvenli;0.1656;0.0169;0.0189;0.0177;0.1716;0.0166;0.1716;Güvenli;0.1656;0.0169;0.0189;0.0177;0.1716;0.0166
Hayatın boyunca hep böyle eksik, yetersiz ve bir adım geride kalacaksın.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0136;Güvenli;0.0136;0.0005;0.0039;0.0008;0.0025;0.0013;0.358;Dikkat;0.358;0.0003;0.0017;0.0011;0.3391;0.0017;0.6535;Toksik;0.6535;0.0004;0.0043;0.0016;0.6338;0.0019;0.132;Güvenli;0.1274;0.0151;0.013;0.0159;0.132;0.016;0.132;Güvenli;0.1274;0.0151;0.013;0.0159;0.132;0.016;0.132;Güvenli;0.1274;0.0151;0.013;0.0159;0.132;0.016
Senin gibi birinin bu hayatta başarılı olması zaten çok büyük bir adaletsizlik olurdu.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0117;Güvenli;0.0117;0.0043;0.0068;0.0007;0.01;0.004;0.0362;Güvenli;0.0362;0.0008;0.0069;0.0014;0.0043;0.0028;0.982;Toksik;0.982;0.0054;0.0082;0.0069;0.9769;0.0138;0.9577;Toksik;0.9577;0.0014;0.0067;0.0031;0.9448;0.0071;0.5278;Dikkat;0.5233;0.0262;0.0191;0.0238;0.5278;0.0218;0.5278;Dikkat;0.5233;0.0262;0.0191;0.0238;0.5278;0.0218;0.5278;Dikkat;0.5233;0.0262;0.0191;0.0238;0.5278;0.0218
İçindeki o bitmek bilmeyen zehirle yaşamaya mahkum olman senin en büyük cezan.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0195;Güvenli;0.0195;0.0026;0.0191;0.0018;0.0085;0.0053;0.6167;Toksik;0.6167;0.0023;0.0613;0.0037;0.0408;0.0131;0.9679;Toksik;0.9679;0.0032;0.0094;0.0054;0.9638;0.0076;0.675;Toksik;0.675;0.0005;0.0058;0.0021;0.6145;0.0024;0.3635;Dikkat;0.3472;0.0209;0.0201;0.0184;0.3635;0.0197;0.3635;Dikkat;0.3472;0.0209;0.0201;0.0184;0.3635;0.0197;0.3635;Dikkat;0.3472;0.0209;0.0201;0.0184;0.3635;0.0197
Senin zeka seviyenle bu konuyu tartışmamız ikimiz için de vakit kaybı olur.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0083;Güvenli;0.0074;0.0034;0.0059;0.001;0.0083;0.0021;0.0369;Güvenli;0.0369;0.0006;0.0071;0.0009;0.0033;0.0018;0.987;Toksik;0.987;0.0049;0.0163;0.0064;0.9749;0.0093;0.9735;Toksik;0.9735;0.0026;0.0099;0.0046;0.9645;0.0067;0.6707;Toksik;0.6518;0.0247;0.0188;0.0205;0.6707;0.015;0.6707;Toksik;0.6518;0.0247;0.0188;0.0205;0.6707;0.015;0.6707;Toksik;0.6518;0.0247;0.0188;0.0205;0.6707;0.015
Herkesin bir yeteneği vardır ama seninki galiba sadece oksijen israf etmek.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0334;Güvenli;0.0334;0.0059;0.0092;0.0007;0.0112;0.0041;0.0153;Güvenli;0.0153;0.0004;0.0029;0.0006;0.0021;0.0014;0.793;Toksik;0.7661;0.0006;0.0042;0.0018;0.793;0.0035;0.3993;Dikkat;0.3993;0.0002;0.0031;0.0009;0.3916;0.0021;0.1365;Güvenli;0.1365;0.0153;0.0148;0.0161;0.1355;0.0152;0.1365;Güvenli;0.1365;0.0153;0.0148;0.0161;0.1355;0.0152;0.1365;Güvenli;0.1365;0.0153;0.0148;0.0161;0.1355;0.0152
Keşke konuşmadan önce biraz düşünme yetin olsaydı, o zaman bu kadar saçmalamazdın.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0117;Güvenli;0.0117;0.0043;0.0068;0.0007;0.01;0.004;0.0213;Güvenli;0.0213;0.0005;0.0044;0.0009;0.0034;0.0016;0.9432;Toksik;0.943;0.0026;0.0068;0.0043;0.9432;0.0071;0.9333;Toksik;0.9327;0.0011;0.0062;0.0025;0.9333;0.0057;0.6592;Toksik;0.6511;0.0248;0.0163;0.0183;0.6592;0.0188;0.6592;Toksik;0.6511;0.0248;0.0163;0.0183;0.6592;0.0188;0.6592;Toksik;0.6511;0.0248;0.0163;0.0183;0.6592;0.0188
Anlama kapasitenin bu kadar kısıtlı olması bizim de çekmek zorunda olduğumuz bir ceza olmamalı.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0083;Güvenli;0.0074;0.0034;0.0059;0.001;0.0083;0.0021;0.0341;Güvenli;0.0341;0.0005;0.0051;0.0009;0.0033;0.0021;0.0025;Güvenli;0.0025;0.0004;0.0013;0.0007;0.002;0.0011;0.0042;Güvenli;0.0042;0.0004;0.0011;0.0007;0.003;0.0014;0.1067;Güvenli;0.1046;0.0164;0.0149;0.0185;0.1067;0.0135;0.1067;Güvenli;0.1046;0.0164;0.0149;0.0185;0.1067;0.0135;0.1067;Güvenli;0.1046;0.0164;0.0149;0.0185;0.1067;0.0135
Sana bir şeyler öğretmeye çalışmak dipsiz bir kuyuya su dökmek gibi.;0.3563;Dikkat;0.3563;0.2346;0.1798;0.0329;0.2593;0.132;0.5611;Dikkat;0.4839;0.3032;0.2737;0.0007;0.5611;0.0274;0.0669;Güvenli;0.0669;0.0007;0.0111;0.0008;0.0051;0.0025;0.9623;Toksik;0.9623;0.0021;0.0096;0.004;0.9526;0.0063;0.9082;Toksik;0.9082;0.0009;0.0072;0.0024;0.8757;0.0034;0.1155;Güvenli;0.1155;0.0148;0.0148;0.0151;0.1126;0.0144;0.1155;Güvenli;0.1155;0.0148;0.0148;0.0151;0.1126;0.0144;0.1155;Güvenli;0.1155;0.0148;0.0148;0.0151;0.1126;0.0144
Bütün bu olanların tek sorumlusu sensin ve bunu asla inkar edemezsin.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0117;Güvenli;0.0117;0.0043;0.0068;0.0007;0.01;0.004;0.0178;Güvenli;0.0178;0.0007;0.0052;0.0011;0.0026;0.0018;0.3115;Dikkat;0.2839;0.0004;0.002;0.0011;0.3115;0.0033;0.1814;Güvenli;0.1814;0.0002;0.0024;0.0007;0.1254;0.0013;0.1622;Güvenli;0.1622;0.0166;0.0159;0.0168;0.1618;0.015;0.1622;Güvenli;0.1622;0.0166;0.0159;0.0168;0.1618;0.015;0.1622;Güvenli;0.1622;0.0166;0.0159;0.0168;0.1618;0.015
Senin yüzünden gruptaki herkesin motivasyonu yerle bir oldu, tebrikler.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0366;Güvenli;0.0366;0.0004;0.0063;0.0007;0.0039;0.001;0.003;Güvenli;0.003;0.0004;0.0014;0.0007;0.0023;0.001;0.0094;Güvenli;0.0094;0.0003;0.0013;0.0006;0.0065;0.0009;0.093;Güvenli;0.0878;0.0158;0.0163;0.0164;0.093;0.0151;0.093;Güvenli;0.0878;0.0158;0.0163;0.0164;0.093;0.0151;0.093;Güvenli;0.0878;0.0158;0.0163;0.0164;0.093;0.0151
Eğer biraz olsun utanman olsaydı, şu an burada durup yüzüme bakamazdın.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0629;Güvenli;0.0629;0.0009;0.0116;0.0014;0.0067;0.0026;0.9226;Toksik;0.8943;0.0014;0.0032;0.0035;0.9226;0.0064;0.2437;Güvenli;0.1968;0.0002;0.0032;0.0007;0.2437;0.0018;0.1294;Güvenli;0.1294;0.0147;0.0175;0.0154;0.1253;0.0164;0.1294;Güvenli;0.1294;0.0147;0.0175;0.0154;0.1253;0.0164;0.1294;Güvenli;0.1294;0.0147;0.0175;0.0154;0.1253;0.0164
Sürekli kurban rolü oynamaktan bıkmadın mı? Artık kimse sana acımıyor.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.02;Güvenli;0.02;0.0004;0.004;0.0007;0.0024;0.0012;0.5637;Dikkat;0.5597;0.0004;0.002;0.0012;0.5637;0.0052;0.1569;Güvenli;0.1569;0.0002;0.0026;0.0006;0.1537;0.0021;0.1756;Güvenli;0.1756;0.0159;0.0135;0.0154;0.1676;0.0175;0.1756;Güvenli;0.1756;0.0159;0.0135;0.0154;0.1676;0.0175;0.1756;Güvenli;0.1756;0.0159;0.0135;0.0154;0.1676;0.0175
Bizi bu duruma düşürdüğün için geceleri nasıl rahat uyuyorsun hayret ediyorum.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0117;Güvenli;0.0117;0.0043;0.0068;0.0007;0.01;0.004;0.0385;Güvenli;0.0385;0.0007;0.0073;0.001;0.0033;0.0021;0.8608;Toksik;0.8339;0.001;0.0039;0.0025;0.8608;0.0042;0.1778;Güvenli;0.1439;0.0002;0.0018;0.0006;0.1778;0.0017;0.2274;Güvenli;0.2274;0.0174;0.0178;0.0149;0.2263;0.0161;0.2274;Güvenli;0.2274;0.0174;0.0178;0.0149;0.2263;0.0161;0.2274;Güvenli;0.2274;0.0174;0.0178;0.0149;0.2263;0.0161
Bu tavırlarına devam edersen yakında etrafında bir tane bile insan kalmayacak.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0122;Güvenli;0.0122;0.0047;0.0066;0.0007;0.0061;0.0034;0.1687;Güvenli;0.1687;0.001;0.0123;0.0023;0.0076;0.0056;0.9588;Toksik;0.9588;0.0023;0.0051;0.0045;0.9544;0.0098;0.8612;Toksik;0.8551;0.0006;0.0043;0.0016;0.8612;0.0056;0.2868;Güvenli;0.2868;0.0211;0.0207;0.0196;0.2858;0.0239;0.2868;Güvenli;0.2868;0.0211;0.0207;0.0196;0.2858;0.0239;0.2868;Güvenli;0.2868;0.0211;0.0207;0.0196;0.2858;0.0239
Sabrımı daha fazla zorlamanı tavsiye etmem, aksi takdirde sonuçlarına katlanırsın.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0128;Güvenli;0.0128;0.0006;0.0033;0.0009;0.0023;0.0015;0.052;Güvenli;0.052;0.0002;0.0017;0.0005;0.0468;0.0011;0.0495;Güvenli;0.0495;0.0002;0.0021;0.0005;0.045;0.0011;0.1048;Güvenli;0.1036;0.016;0.0171;0.0176;0.1048;0.0142;0.1048;Güvenli;0.1036;0.016;0.0171;0.0176;0.1048;0.0142;0.1048;Güvenli;0.1036;0.016;0.0171;0.0176;0.1048;0.0142
Benimle bu şekilde konuşmanın ne demek olduğunu sana çok yakında göstereceğim.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0301;Güvenli;0.0301;0.0039;0.0108;0.0007;0.0234;0.006;0.21;Güvenli;0.21;0.0012;0.0236;0.0017;0.0099;0.0049;0.0062;Güvenli;0.0062;0.0002;0.0015;0.0005;0.004;0.0008;0.0079;Güvenli;0.0079;0.0003;0.0014;0.0007;0.0051;0.0009;0.1195;Güvenli;0.1195;0.0176;0.0174;0.0233;0.1144;0.0156;0.1195;Güvenli;0.1195;0.0176;0.0174;0.0233;0.1144;0.0156;0.1195;Güvenli;0.1195;0.0176;0.0174;0.0233;0.1144;0.0156
Sınırlarını bu kadar aşarsan, o sınırların sana nasıl dar edileceğini yaşayarak öğrenirsin.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0106;Güvenli;0.0106;0.0046;0.0061;0.0007;0.0085;0.0038;0.0581;Güvenli;0.0581;0.0008;0.006;0.0016;0.0052;0.0032;0.7964;Toksik;0.7443;0.0006;0.0039;0.0016;0.7964;0.0044;0.8402;Toksik;0.8278;0.0006;0.0057;0.0017;0.8402;0.0055;0.0773;Güvenli;0.0751;0.0147;0.0162;0.0153;0.0773;0.0164;0.0773;Güvenli;0.0751;0.0147;0.0162;0.0153;0.0773;0.0164;0.0773;Güvenli;0.0751;0.0147;0.0162;0.0153;0.0773;0.0164
