yorum;V1_genel_skor;V1_seviye;V1_Toksik;V1_Ağır Toksik;V1_Müstehcen;V1_Tehdit;V1_Hakaret;V1_Kimlik Nefreti;V2_genel_skor;V2_seviye;V2_Toksik;V2_Ağır Toksik;V2_Müstehcen;V2_Tehdit;V2_Hakaret;V2_Kimlik Nefreti;V3_genel_skor;V3_seviye;V3_Toksik;V3_Ağır Toksik;V3_Müstehcen;V3_Tehdit;V3_Hakaret;V3_Kimlik Nefreti;V4_genel_skor;V4_seviye;V4_Toksik;V4_Ağır Toksik;V4_Müstehcen;V4_Tehdit;V4_Hakaret;V4_Kimlik Nefreti;V5_genel_skor;V5_seviye;V5_Toksik;V5_Ağır Toksik;V5_Müstehcen;V5_Tehdit;V5_Hakaret;V5_Kimlik Nefreti;V5_2_genel_skor;V5_2_seviye;V5_2_Toksik;V5_2_Ağır Toksik;V5_2_Müstehcen;V5_2_Tehdit;V5_2_Hakaret;V5_2_Kimlik Nefreti;V5_02_genel_skor;V5_02_seviye;V5_02_Toksik;V5_02_Ağır Toksik;V5_02_Müstehcen;V5_02_Tehdit;V5_02_Hakaret;V5_02_Kimlik Nefreti;V5_22_genel_skor;V5_22_seviye;V5_22_Toksik;V5_22_Ağır Toksik;V5_22_Müstehcen;V5_22_Tehdit;V5_22_Hakaret;V5_22_Kimlik Nefreti
Bu zekayla nasıl hayatta kalabiliyorsun hayret ediyorum.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0117;Güvenli;0.0117;0.0043;0.0068;0.0007;0.01;0.004;0.0043;Güvenli;0.0043;0.0005;0.0017;0.0007;0.0013;0.001;0.9912;Toksik;0.9912;0.0078;0.0202;0.0081;0.9788;0.0102;0.9842;Toksik;0.9842;0.0044;0.0124;0.0067;0.9777;0.01;0.7071;Toksik;0.6922;0.0263;0.0184;0.0215;0.7071;0.0174;0.7071;Toksik;0.6922;0.0263;0.0184;0.0215;0.7071;0.0174;0.7071;Toksik;0.6922;0.0263;0.0184;0.0215;0.7071;0.0174
Senin yüzünü görmek bile midemi bulandırıyor.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0205;Güvenli;0.0205;0.0059;0.0079;0.0007;0.006;0.0033;0.0167;Güvenli;0.0167;0.0004;0.003;0.0007;0.0022;0.0014;0.9648;Toksik;0.9648;0.002;0.0161;0.0038;0.9464;0.0055;0.9356;Toksik;0.9356;0.0011;0.0114;0.0025;0.9173;0.0042;0.2608;Güvenli;0.2546;0.0175;0.0194;0.0156;0.2608;0.0223;0.2608;Güvenli;0.2546;0.0175;0.0194;0.0156;0.2608;0.0223;0.2608;Güvenli;0.2546;0.0175;0.0194;0.0156;0.2608;0.0223
Defol git burdan, kimse seni burada istemiyor.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.3217;Dikkat;0.3217;0.0066;0.038;0.0007;0.0502;0.0029;0.0357;Güvenli;0.0357;0.0004;0.0041;0.0006;0.0031;0.0011;0.9905;Toksik;0.9905;0.008;0.0138;0.0085;0.9798;0.0139;0.9899;Toksik;0.9899;0.0063;0.0166;0.0084;0.9785;0.0115;0.4625;Dikkat;0.445;0.0188;0.0122;0.014;0.4625;0.0177;0.4625;Dikkat;0.445;0.0188;0.0122;0.014;0.4625;0.0177;0.4625;Dikkat;0.445;0.0188;0.0122;0.014;0.4625;0.0177
Sen tam bir korkaksın, asla sorumluluk alamazsın.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0319;Güvenli;0.0319;0.0058;0.0111;0.0005;0.0101;0.0035;0.0112;Güvenli;0.0112;0.0005;0.0032;0.0007;0.002;0.0011;0.9903;Toksik;0.9903;0.0093;0.0164;0.0091;0.9798;0.01;0.9879;Toksik;0.9879;0.0072;0.0148;0.0094;0.9798;0.0101;0.7184;Toksik;0.698;0.0237;0.0151;0.0175;0.7184;0.0149;0.7184;Toksik;0.698;0.0237;0.0151;0.0175;0.7184;0.0149;0.7184;Toksik;0.698;0.0237;0.0151;0.0175;0.7184;0.0149
Yeteneksizsin ve asla bu işte başarılı olamayacaksın.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0117;Güvenli;0.0117;0.0043;0.0068;0.0007;0.01;0.004;0.0077;Güvenli;0.0077;0.0006;0.0027;0.0009;0.0018;0.0012;0.9851;Toksik;0.9851;0.0065;0.0116;0.0077;0.9771;0.0095;0.9789;Toksik;0.9789;0.0039;0.0097;0.0065;0.9727;0.0084;0.7633;Toksik;0.7509;0.0277;0.0169;0.0236;0.7633;0.0147;0.7633;Toksik;0.7509;0.0277;0.0169;0.0236;0.7633;0.0147;0.7633;Toksik;0.7509;0.0277;0.0169;0.0236;0.7633;0.0147
Seninle konuşmak tamamen zaman kaybı, bomboş birisin.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0568;Güvenli;0.0568;0.0005;0.0067;0.0012;0.004;0.0018;0.987;Toksik;0.987;0.0085;0.0156;0.0092;0.9801;0.0089;0.9865;Toksik;0.9865;0.0053;0.0145;0.0076;0.9758;0.0083;0.7728;Toksik;0.7651;0.0261;0.0203;0.0193;0.7728;0.014;0.7728;Toksik;0.7651;0.0261;0.0203;0.0193;0.7728;0.014;0.7728;Toksik;0.7651;0.0261;0.0203;0.0193;0.7728;0.014
Kendini ne sanıyorsun bilmiyorum ama tam bir zavallısın.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0633;Güvenli;0.0633;0.005;0.0135;0.0007;0.026;0.0061;0.0186;Güvenli;0.0186;0.0005;0.0042;0.0006;0.0023;0.0013;0.9893;Toksik;0.9893;0.0058;0.0138;0.0067;0.9762;0.011;0.9881;Toksik;0.9881;0.0044;0.0164;0.0059;0.9774;0.0109;0.7275;Toksik;0.7158;0.0267;0.0221;0.0199;0.7275;0.0202;0.7275;Toksik;0.7158;0.0267;0.0221;0.0199;0.7275;0.0202;0.7275;Toksik;0.7158;0.0267;0.0221;0.0199;0.7275;0.0202
Sana nefret besliyorum ve yok olmanı istiyorum.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0116;Güvenli;0.0116;0.0004;0.0026;0.0006;0.0015;0.0011;0.9758;Toksik;0.9758;0.0031;0.009;0.005;0.9627;0.0079;0.9642;Toksik;0.9642;0.0021;0.0116;0.0049;0.9368;0.0076;0.3114;Dikkat;0.3012;0.0197;0.0138;0.0197;0.3114;0.0172;0.3114;Dikkat;0.3012;0.0197;0.0138;0.0197;0.3114;0.0172;0.3114;Dikkat;0.3012;0.0197;0.0138;0.0197;0.3114;0.0172
O iğrenç fikirlerini kendine sakla, bizi rahatsız etme.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0669;Güvenli;0.0669;0.0009;0.0099;0.0013;0.0049;0.0031;0.9883;Toksik;0.9883;0.0061;0.0137;0.0076;0.9762;0.0105;0.9805;Toksik;0.9805;0.0025;0.0124;0.0044;0.9677;0.0087;0.5222;Dikkat;0.5142;0.0223;0.0179;0.0157;0.5222;0.0204;0.5222;Dikkat;0.5142;0.0223;0.0179;0.0157;0.5222;0.0204;0.5222;Dikkat;0.5142;0.0223;0.0179;0.0157;0.5222;0.0204
Senin gibi karaktersiz biriyle asla iş yapmam.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0278;Güvenli;0.0278;0.0003;0.0056;0.0005;0.003;0.0009;0.9901;Toksik;0.9901;0.007;0.0141;0.0074;0.9796;0.0129;0.9861;Toksik;0.9861;0.0053;0.0129;0.0077;0.9787;0.0105;0.7941;Toksik;0.7729;0.0255;0.0175;0.0221;0.7941;0.0151;0.7941;Toksik;0.7729;0.0255;0.0175;0.0221;0.7941;0.0151;0.7941;Toksik;0.7729;0.0255;0.0175;0.0221;0.7941;0.0151
Yalancı, ikiyüzlü ve sahtekarın tekisin.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0067;Güvenli;0.0067;0.0005;0.0021;0.0009;0.0018;0.0011;0.9905;Toksik;0.9905;0.0078;0.0152;0.0084;0.9795;0.0116;0.9917;Toksik;0.9917;0.0048;0.0124;0.0063;0.9765;0.0225;0.8274;Toksik;0.8149;0.0284;0.0153;0.0223;0.8274;0.0183;0.8274;Toksik;0.8149;0.0284;0.0153;0.0223;0.8274;0.0183;0.8274;Toksik;0.8149;0.0284;0.0153;0.0223;0.8274;0.0183
Beynini kullanmayı ne zaman öğreneceksin merak ediyorum.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0896;Güvenli;0.0896;0.0047;0.0188;0.0007;0.0455;0.0077;0.0035;Güvenli;0.0035;0.0005;0.0018;0.0007;0.0013;0.001;0.9263;Toksik;0.9263;0.001;0.0112;0.0027;0.9125;0.0088;0.923;Toksik;0.9129;0.0009;0.008;0.0024;0.923;0.0055;0.5425;Dikkat;0.5425;0.0272;0.0222;0.0225;0.5409;0.0279;0.5425;Dikkat;0.5425;0.0272;0.0222;0.0225;0.5409;0.0279;0.5425;Dikkat;0.5425;0.0272;0.0222;0.0225;0.5409;0.0279
Senin fikirlerinin bu dünyada hiçbir değeri yok.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0117;Güvenli;0.0117;0.0043;0.0068;0.0007;0.01;0.004;0.7379;Toksik;0.7379;0.0049;0.1171;0.0067;0.0525;0.0286;0.9145;Toksik;0.9145;0.0012;0.0039;0.0029;0.8692;0.005;0.1907;Güvenli;0.1907;0.0002;0.0032;0.0006;0.0799;0.001;0.1545;Güvenli;0.1539;0.0155;0.0134;0.0156;0.1545;0.0167;0.1545;Güvenli;0.1539;0.0155;0.0134;0.0156;0.1545;0.0167;0.1545;Güvenli;0.1539;0.0155;0.0134;0.0156;0.1545;0.0167
Seni asla affetmeyeceğim, sen çok kötü bir insansın.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0319;Güvenli;0.0319;0.0058;0.0111;0.0005;0.0101;0.0035;0.0356;Güvenli;0.0356;0.0007;0.0057;0.0012;0.0038;0.0024;0.9888;Toksik;0.9888;0.01;0.0158;0.0095;0.9811;0.0098;0.9887;Toksik;0.9887;0.0063;0.016;0.0085;0.9779;0.0098;0.4565;Dikkat;0.4463;0.02;0.0139;0.0153;0.4565;0.017;0.4565;Dikkat;0.4463;0.02;0.0139;0.0153;0.4565;0.017;0.4565;Dikkat;0.4463;0.02;0.0139;0.0153;0.4565;0.017
Hiçbir şeyden anlamayan cahil bir aptalsın.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0044;Güvenli;0.0044;0.0004;0.0018;0.0006;0.0015;0.0009;0.9901;Toksik;0.9901;0.0099;0.0145;0.0097;0.9812;0.0115;0.989;Toksik;0.989;0.0074;0.0145;0.0093;0.9817;0.0125;0.6479;Toksik;0.6218;0.023;0.0128;0.0156;0.6479;0.0172;0.6479;Toksik;0.6218;0.023;0.0128;0.0156;0.6479;0.0172;0.6479;Toksik;0.6218;0.023;0.0128;0.0156;0.6479;0.0172
Toplum için tamamen zararlı ve tehlikeli bir mahluksun.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0182;Güvenli;0.0182;0.0005;0.0053;0.0007;0.0021;0.0011;0.9695;Toksik;0.9695;0.0047;0.008;0.006;0.9641;0.0133;0.9746;Toksik;0.9746;0.0029;0.0084;0.0046;0.9685;0.0105;0.5632;Dikkat;0.5456;0.0241;0.0151;0.0197;0.5632;0.0164;0.5632;Dikkat;0.5456;0.0241;0.0151;0.0197;0.5632;0.0164;0.5632;Dikkat;0.5456;0.0241;0.0151;0.0197;0.5632;0.0164
Gereksiz konuşma, çeneni kapat ve otur yerine.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0106;Güvenli;0.0106;0.0004;0.002;0.0007;0.002;0.0011;0.9855;Toksik;0.9855;0.0071;0.0122;0.0084;0.9787;0.0092;0.9834;Toksik;0.9834;0.0043;0.0123;0.0067;0.9755;0.0086;0.2848;Güvenli;0.2848;0.0188;0.0102;0.0186;0.2797;0.0138;0.2848;Güvenli;0.2848;0.0188;0.0102;0.0186;0.2797;0.0138;0.2848;Güvenli;0.2848;0.0188;0.0102;0.0186;0.2797;0.0138
Senden nefret eden o kadar çok insan var ki haklılar.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.032;Güvenli;0.032;0.005;0.0087;0.0076;0.0132;0.0034;0.187;Güvenli;0.187;0.0017;0.0137;0.0044;0.0125;0.0074;0.983;Toksik;0.983;0.0047;0.0088;0.0063;0.9742;0.0118;0.9756;Toksik;0.9756;0.0017;0.0076;0.0034;0.9575;0.0128;0.38;Dikkat;0.3706;0.0197;0.014;0.0167;0.38;0.0206;0.38;Dikkat;0.3706;0.0197;0.014;0.0167;0.38;0.0206;0.38;Dikkat;0.3706;0.0197;0.014;0.0167;0.38;0.0206
Gözümün önünden kaybol, seni görmek sinirlerimi bozuyor.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.021;Güvenli;0.021;0.0006;0.004;0.0011;0.0034;0.0019;0.3779;Dikkat;0.3452;0.0004;0.0029;0.0012;0.3779;0.0014;0.1092;Güvenli;0.1092;0.0002;0.002;0.0007;0.0964;0.0012;0.0704;Güvenli;0.0704;0.0154;0.0181;0.0169;0.0687;0.018;0.0704;Güvenli;0.0704;0.0154;0.0181;0.0169;0.0687;0.018;0.0704;Güvenli;0.0704;0.0154;0.0181;0.0169;0.0687;0.018
Sen bu gruptaki en işe yaramaz ve tembel kişisin.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0141;Güvenli;0.0141;0.0033;0.0112;0.0009;0.0075;0.0039;0.066;Güvenli;0.066;0.0006;0.009;0.0009;0.0041;0.002;0.9897;Toksik;0.9897;0.0085;0.014;0.0086;0.9814;0.0123;0.9886;Toksik;0.9886;0.0068;0.0138;0.0092;0.9809;0.0128;0.7375;Toksik;0.7188;0.0256;0.0166;0.0194;0.7375;0.0172;0.7375;Toksik;0.7188;0.0256;0.0166;0.0194;0.7375;0.0172;0.7375;Toksik;0.7188;0.0256;0.0166;0.0194;0.7375;0.0172
Bugün hava gerçekten çok güzel, yürüyüşe çıkalım mı?;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0461;Güvenli;0.0461;0.0006;0.0076;0.001;0.0039;0.0019;0.0019;Güvenli;0.0019;0.0005;0.0015;0.0009;0.0015;0.0012;0.0028;Güvenli;0.0028;0.0006;0.0013;0.0009;0.0021;0.0014;0.0521;Güvenli;0.0521;0.0182;0.0188;0.0215;0.0494;0.0194;0.0521;Güvenli;0.0521;0.0182;0.0188;0.0215;0.0494;0.0194;0.0521;Güvenli;0.0521;0.0182;0.0188;0.0215;0.0494;0.0194
Projenizde yaptığınız güncellemeleri çok başarılı buldum.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0168;Güvenli;0.0168;0.0005;0.004;0.0009;0.0023;0.0013;0.0018;Güvenli;0.0018;0.0006;0.0015;0.001;0.0015;0.0013;0.0021;Güvenli;0.0021;0.0008;0.0012;0.0013;0.0016;0.0014;0.0469;Güvenli;0.0469;0.0184;0.0192;0.0221;0.0364;0.0174;0.0469;Güvenli;0.0469;0.0184;0.0192;0.0221;0.0364;0.0174;0.0469;Güvenli;0.0469;0.0184;0.0192;0.0221;0.0364;0.0174
Bu konuda seninle aynı fikirde değilim ama görüşüne saygı duyuyorum.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.018;Güvenli;0.018;0.0047;0.0074;0.0007;0.0099;0.0041;0.064;Güvenli;0.064;0.001;0.0098;0.0018;0.0054;0.0034;0.0035;Güvenli;0.0035;0.0003;0.0012;0.0006;0.0025;0.0009;0.0026;Güvenli;0.0026;0.0007;0.0011;0.0011;0.0019;0.0014;0.0448;Güvenli;0.0448;0.0187;0.0193;0.0238;0.0431;0.0169;0.0448;Güvenli;0.0448;0.0187;0.0193;0.0238;0.0431;0.0169;0.0448;Güvenli;0.0448;0.0187;0.0193;0.0238;0.0431;0.0169
Kütüphaneden aldığım kitabı yarın teslim etmem gerekiyor.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0126;Güvenli;0.0126;0.0005;0.003;0.0008;0.002;0.0011;0.0019;Güvenli;0.0019;0.0005;0.0015;0.0009;0.0015;0.0013;0.003;Güvenli;0.003;0.0005;0.0013;0.0009;0.0021;0.0013;0.0441;Güvenli;0.0424;0.0204;0.02;0.0228;0.0441;0.0181;0.0441;Güvenli;0.0424;0.0204;0.02;0.0228;0.0441;0.0181;0.0441;Güvenli;0.0424;0.0204;0.02;0.0228;0.0441;0.0181
Lütfen bana bu konuyu biraz daha detaylı anlatır mısın?;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0117;Güvenli;0.0117;0.0043;0.0068;0.0007;0.01;0.004;0.0743;Güvenli;0.0743;0.0007;0.0101;0.0012;0.0043;0.0019;0.0022;Güvenli;0.0022;0.0005;0.0014;0.0008;0.0016;0.0012;0.0026;Güvenli;0.0026;0.0006;0.0015;0.001;0.0019;0.0012;0.0555;Güvenli;0.0555;0.0179;0.019;0.0227;0.0417;0.015;0.0555;Güvenli;0.0555;0.0179;0.019;0.0227;0.0417;0.015;0.0555;Güvenli;0.0555;0.0179;0.019;0.0227;0.0417;0.015
Akşam yemeği için ne pişirmeyi düşünüyorsun?;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0896;Güvenli;0.0896;0.0047;0.0188;0.0007;0.0455;0.0077;0.0243;Güvenli;0.0243;0.0005;0.0037;0.0007;0.0028;0.0013;0.0024;Güvenli;0.0024;0.0004;0.0013;0.0008;0.0018;0.0013;0.0047;Güvenli;0.0047;0.0004;0.0012;0.0007;0.0032;0.0013;0.0899;Güvenli;0.0899;0.0159;0.0154;0.0189;0.0859;0.0143;0.0899;Güvenli;0.0899;0.0159;0.0154;0.0189;0.0859;0.0143;0.0899;Güvenli;0.0899;0.0159;0.0154;0.0189;0.0859;0.0143
