yorum,toksisite_skoru,seviye,Toksik,Ağır Toksik,Müstehcen,Tehdit,Hakaret,Kimlik Nefreti
"Bu olağanüstü performansını neye borçlusun, merak ediyorum doğrusu.",0.1224,Güvenli,0.1224,0.0167,0.0207,0.0163,0.1212,0.0163
"Ne kadar düşünceli bir hareket, sayende iki saat fazladan mesai yaptım.",0.0821,Güvenli,0.0821,0.0163,0.0167,0.0183,0.0805,0.0148
"İşte aradığımız vizyoner lider, heykeli dikilse yeri.",0.1385,Güvenli,0.1385,0.0203,0.0152,0.0243,0.1311,0.023
"Zaten bir işi de doğru yapsan şaşardım, geleneği bozmadığın için sağ ol.",0.2256,Güvenli,0.2253,0.0186,0.0198,0.0168,0.2256,0.0215
"Seninle çalışmak bir ayrıcalık, düşmanımın bile başına gelmesin.",0.0764,Güvenli,0.0764,0.0148,0.0157,0.0157,0.0752,0.0167
Bu dahiyane fikri düşünmek için çok uykusuz kaldın mı?,0.1553,Güvenli,0.1553,0.0154,0.0163,0.0142,0.1548,0.0156
Sayende 'nasıl yapılmaz' kitabının ilk bölümünü yazabilirim.,0.0523,Güvenli,0.0523,0.0176,0.0179,0.0214,0.0501,0.0153
Ağzından bal damlıyor ama zehir gibi zehir.,0.0845,Güvenli,0.0829,0.015,0.0175,0.0162,0.0845,0.0166
"O kadar zekisin ki, etrafındakilerin aptal hissetmesine sebep oluyorsun.",0.5348,Dikkat,0.5195,0.0229,0.019,0.016,0.5348,0.0238
"Senin bu yardımseverliğin gözlerimi yaşartıyor, keşke biraz da işe yarasa.",0.1142,Güvenli,0.1081,0.0157,0.0186,0.0163,0.1142,0.0154
Bu harika espri anlayışınla stand-up yapsan salon kesin boşalır.,0.2414,Güvenli,0.2414,0.021,0.0256,0.0199,0.231,0.023
"Mükemmel bir zamanlama, tam da işler düzene girmişken her şeyi bozdun.",0.0778,Güvenli,0.077,0.0154,0.015,0.0169,0.0778,0.0135
"Oğlum manyak mısın, bu yazdığın kod nasıl efsane çalışıyor lan öyle!",0.6121,Toksik,0.5966,0.0258,0.0238,0.0176,0.6121,0.0236
"Şerefsizim çok iyi düşünmüşsün bunu, benim aklıma hayatta gelmezdi.",0.1074,Güvenli,0.1031,0.0168,0.0208,0.0193,0.1074,0.0212
"Bu ne biçim bir tasarım ulan, ağzım açık kaldı izlerken.",0.1128,Güvenli,0.1075,0.014,0.0201,0.013,0.1128,0.0174
"Ulan harbi helal olsun, bunu nasıl başardın?",0.2853,Güvenli,0.2715,0.024,0.0379,0.0194,0.2853,0.0359
"Vay hayvan vay, yine birinci olmuşsun tebrikler!",0.3546,Dikkat,0.3333,0.0227,0.0259,0.0167,0.3546,0.0245
"Manyak herif, bu kadar kısa sürede bu işi nasıl bitirdin?",0.8313,Toksik,0.8209,0.0276,0.0217,0.0244,0.8313,0.0164
"Pislik seni, yine en iyi notu sen almışsın.",0.7404,Toksik,0.7106,0.0242,0.0184,0.0176,0.7404,0.0129
"Deli misin nesin, o kadar yolu nasıl yürüdün?",0.296,Güvenli,0.296,0.0197,0.0164,0.0172,0.2939,0.0164
"Vay anasını, bu araba ne kadar güzelmiş böyle!",0.7351,Toksik,0.709,0.0174,0.0296,0.0139,0.7351,0.0144
"Çüş artık, o kadar parayı nasıl kazandın lan?",0.3634,Dikkat,0.3565,0.0219,0.0261,0.0161,0.3634,0.0215
"Ulan sen ne kurnaz şeysin, yine işi kendi lehine çevirdin.",0.578,Dikkat,0.5625,0.021,0.0168,0.0141,0.578,0.0171
"Hayvan gibi çalışmışsın yine, tebrik ederim kardeşim.",0.37,Dikkat,0.3482,0.0253,0.0324,0.0183,0.37,0.0267
"Şerefsiz, ne güzel sürpriz yaptın öyle!",0.7107,Toksik,0.709,0.0239,0.027,0.0186,0.7107,0.0175
"Oğlum sen harbi manyaksın, o projeyi tek başına nasıl bitirdin?",0.5798,Dikkat,0.5689,0.0254,0.0229,0.0171,0.5798,0.0197
"Vay canına, bu yemek ne kadar lezzetli olmuş lan böyle!",0.1266,Güvenli,0.1149,0.0152,0.0165,0.0148,0.1266,0.0177
"Ulan helal olsun, yine harikalar yaratmışsın.",0.1313,Güvenli,0.1172,0.0161,0.0322,0.0134,0.1313,0.0222
"Pislik, bu kadar güzel çizmeyi nereden öğrendin?",0.6281,Toksik,0.6155,0.0243,0.016,0.0178,0.6281,0.0145
"Deli adam, o kadar yüksekten atlamaya nasıl cesaret ettin?",0.2897,Güvenli,0.2883,0.0195,0.0147,0.0177,0.2897,0.0142
"Vay arkadaş, bu oyun ne kadar sarıyormuş lan!",0.1807,Güvenli,0.1807,0.0148,0.0188,0.0159,0.1363,0.0169
"Şerefsizim harika görünüyorsun, o kıyafeti nereden aldın?",0.1558,Güvenli,0.1497,0.0168,0.0254,0.0156,0.1558,0.025
"Oğlum manyak mısın, o kadar acı biberi nasıl yedin?",0.4432,Dikkat,0.4412,0.0229,0.0209,0.0148,0.4432,0.0201
"Ulan sen ne komik adamsın, gülmekten karnıma ağrılar girdi.",0.1347,Güvenli,0.1262,0.0137,0.0163,0.0126,0.1347,0.016
"Vay hayvan, yine en zor soruyu sen bildin.",0.2499,Güvenli,0.2307,0.0162,0.0198,0.0137,0.2499,0.0181
"Çüş, o kadar ağırlığı nasıl kaldırdın lan?",0.2003,Güvenli,0.1922,0.0177,0.0236,0.0168,0.2003,0.0186
"Pislik seni, yine en iyi sen seçildin tebrikler.",0.7413,Toksik,0.7049,0.0241,0.0192,0.0177,0.7413,0.0133
"Oh, brilliant idea. Let's just push this untested code directly to the production server. Absolute genius.",0.2322,Güvenli,0.2322,0.0213,0.0228,0.0283,0.097,0.0205
"Wow, it only took you three whole weeks to fix a simple typo. We should throw a parade in your honor.",0.3299,Dikkat,0.3299,0.0649,0.0286,0.2555,0.101,0.0575
I guess reading the API documentation was just way too exhausting for some people here.,0.2307,Güvenli,0.2307,0.0136,0.0287,0.0151,0.07,0.0242
Bless your heart for trying to explain something you clearly know nothing about.,0.5069,Dikkat,0.5069,0.0224,0.027,0.0358,0.1416,0.0356
"What a profound insight, you must be the smartest person in this empty room.",0.5934,Dikkat,0.5934,0.0186,0.0268,0.0277,0.0986,0.0276
I'm so glad you decided to bless us with your incompetence today.,0.6078,Toksik,0.6078,0.0316,0.0346,0.0393,0.491,0.0443
Your ability to completely ignore the point is truly inspiring.,0.4437,Dikkat,0.4437,0.0188,0.0307,0.0216,0.2049,0.0344
"That's a great solution, if the problem was entirely different.",0.4563,Dikkat,0.4563,0.0202,0.0231,0.039,0.0416,0.0296
I clearly overestimated your ability to do the bare minimum.,0.6805,Toksik,0.6805,0.0193,0.0325,0.0333,0.0617,0.0322
Thank you for demonstrating exactly what not to do.,0.3693,Dikkat,0.3693,0.0146,0.0201,0.0193,0.0868,0.025
It's fascinating how you consistently lower the bar.,0.3774,Dikkat,0.3774,0.0186,0.0262,0.0211,0.1199,0.0261
"I would agree with you, but then we'd both be wrong.",0.1019,Güvenli,0.1019,0.0188,0.0227,0.0311,0.0266,0.0236
Your contribution to this project has been nothing short of disastrous.,0.2156,Güvenli,0.2156,0.0247,0.0335,0.0365,0.1046,0.0327
I marvel at your ability to remain so oblivious to reality.,0.3783,Dikkat,0.3783,0.0189,0.0222,0.0223,0.1664,0.029
That's a very creative way to fail completely.,0.3716,Dikkat,0.3716,0.0254,0.0279,0.0531,0.0653,0.022
I'm sure your extensive experience in making mistakes will be very useful.,0.4591,Dikkat,0.4591,0.018,0.0217,0.03,0.0681,0.0251
It takes a special kind of talent to mess things up this badly.,0.3253,Dikkat,0.3253,0.0211,0.029,0.032,0.106,0.0239
Your feedback is as useful as a screen door on a submarine.,0.192,Güvenli,0.192,0.0207,0.0214,0.0336,0.0776,0.0258
I'm impressed by your dedication to doing things the hard way.,0.3863,Dikkat,0.3863,0.0186,0.0268,0.0219,0.1337,0.0258
Thank you for wasting my time with such remarkable efficiency.,0.5998,Dikkat,0.5998,0.0154,0.0282,0.0133,0.2776,0.0222
You have a real gift for making simple tasks incredibly complicated.,0.4675,Dikkat,0.4675,0.0161,0.0263,0.0191,0.1811,0.0243
I applaud your commitment to mediocrity.,0.5696,Dikkat,0.5696,0.0364,0.0466,0.0303,0.4962,0.0328
"Your logic is flawed, but your confidence is impressive.",0.3241,Dikkat,0.3241,0.0196,0.0289,0.0238,0.1396,0.0349
I'm sure that made sense in your head.,0.5513,Dikkat,0.5513,0.0184,0.0273,0.0285,0.0829,0.0235
It's refreshing to see someone so comfortable with being wrong.,0.664,Toksik,0.664,0.018,0.0227,0.017,0.508,0.0285
"You absolute madman, I can't believe you managed to pull that off! Sick job.",0.6781,Toksik,0.6781,0.0991,0.285,0.0649,0.5008,0.055
"Shut the f*ck up, there is no way you actually won that match!",0.5863,Dikkat,0.5863,0.1273,0.3048,0.0833,0.1789,0.0513
"This is ridiculously good, you crazy bastard.",0.7204,Toksik,0.7204,0.1702,0.488,0.0566,0.6061,0.1047
"Holy shit, that was the most amazing thing I've ever seen!",0.3787,Dikkat,0.3787,0.0221,0.0643,0.0232,0.0913,0.0214
"You son of a bitch, I'm in!",0.6044,Toksik,0.6044,0.2459,0.541,0.0462,0.5765,0.1769
"Damn, you look incredible tonight!",0.3538,Dikkat,0.3538,0.0497,0.1977,0.0309,0.1602,0.0553
"Fuck yeah, we finally did it!",0.4433,Dikkat,0.4433,0.0203,0.0462,0.026,0.0659,0.0317
"You sick fuck, how did you even think of that?",0.7899,Toksik,0.7899,0.2515,0.6055,0.0565,0.6425,0.0561
Badass! That's how it's done.,0.3673,Dikkat,0.3673,0.0586,0.2064,0.0338,0.2382,0.063
"You crazy son of a gun, you actually did it!",0.6629,Toksik,0.6629,0.0683,0.102,0.0777,0.5161,0.0407
"Holy fuck, this food is delicious!",0.4166,Dikkat,0.4166,0.0276,0.0782,0.0295,0.0713,0.0295
"Damn it, why are you always so good at this?",0.5114,Dikkat,0.5114,0.0824,0.3526,0.0368,0.1523,0.0399
"You lucky bastard, how did you score those tickets?",0.454,Dikkat,0.454,0.0822,0.2587,0.051,0.2523,0.0542
"Fuck off, you're too good at this game.",0.4799,Dikkat,0.4799,0.0564,0.168,0.0391,0.1091,0.0314
"You sneaky little shit, I didn't see that coming.",0.6725,Toksik,0.6725,0.1875,0.5219,0.0624,0.4644,0.0637
"Holy hell, that was a close one!",0.4515,Dikkat,0.4515,0.0294,0.0571,0.0418,0.0618,0.0437
"Damn straight, you earned that promotion.",0.5029,Dikkat,0.5029,0.06,0.2344,0.0339,0.1151,0.0454
"You absolute unit, how much can you lift?",0.4044,Dikkat,0.4044,0.0277,0.0368,0.0479,0.1209,0.0267
"Fuck me, that's a beautiful car.",0.2865,Güvenli,0.2865,0.0296,0.0868,0.0321,0.0638,0.0286
"You crazy bitch, I love you!",0.456,Dikkat,0.4485,0.1241,0.2688,0.0452,0.456,0.3018
"Holy crap, I didn't expect that at all.",0.4753,Dikkat,0.4753,0.0482,0.1606,0.0488,0.0673,0.0256
"Damn right, we're the best team here.",0.5492,Dikkat,0.5492,0.0296,0.1001,0.0295,0.0704,0.0301
"You lucky son of a bitch, I'm so jealous.",0.2872,Güvenli,0.2872,0.0726,0.2824,0.0277,0.2234,0.1004
"Fuck man, that was an epic save.",0.4049,Dikkat,0.4049,0.031,0.0873,0.0341,0.057,0.0276
"You absolute legend, thanks for helping me out.",0.3839,Dikkat,0.3839,0.0187,0.0285,0.0212,0.1357,0.0271
